date,soi,oni,nino3,pna
198406,-0.3,-0.4,-1.1,-0.36
198407,0.2,-0.3,-0.59,-2.61
198408,0.4,-0.2,-0.5,-1.14
198409,0.1,-0.2,-0.39,-0.02
198410,-0.3,-0.6,-0.86,-0.53
198411,0.3,-0.9,-0.98,0.39
198412,-0.1,-1.1,-1.36,-1.9
198501,-0.3,-1,-1.01,1.44
198502,1.2,-0.8,-1.02,-0.99
198503,0.8,-0.8,-0.94,-1.19
198504,1.2,-0.8,-0.98,-1.27
198505,0.4,-0.8,-1.11,-0.82
198506,-0.4,-0.6,-0.85,1.28
198507,-0.1,-0.5,-0.9,-0.19
198508,1,-0.5,-0.79,-0.53
198509,0,-0.4,-0.74,-0.63
198510,-0.4,-0.3,-0.84,-1.5
198511,-0.2,-0.3,-0.68,-1.83
198512,0.2,-0.4,-0.67,1.08
198601,1,-0.5,-0.82,0.6
198602,-1,-0.5,-0.54,0.41
198603,0.5,-0.3,-0.47,0.51
198604,0.3,-0.2,-0.45,-0.15
198605,-0.2,-0.1,-0.63,-0.03
198606,1,0,-0.27,0.39
198607,0.3,0.2,0.03,-0.35
198608,-0.4,0.4,-0.03,-1.49
198609,-0.5,0.7,0.32,-0.28
198610,0.6,0.9,0.77,1.18
198611,-1.2,1.1,0.88,-0.71
198612,-1.4,1.2,0.74,1.06
198701,-0.7,1.2,1.04,0.63
198702,-1.2,1.2,0.98,0.57
198703,-1.3,1.1,1.05,0.85
198704,-1.4,0.9,0.95,1.54
198705,-1.3,1,1.07,-1.02
198706,-1.1,1.2,1.12,0.56
198707,-1.4,1.5,1.34,-0.43
198708,-0.9,1.7,1.43,0.74
198709,-1,1.6,1.63,-2.6
198710,-0.4,1.5,1.23,0.75
198711,0,1.3,1.16,1.19
198712,-0.5,1.1,1.07,0.5
198801,-0.1,0.8,0.51,0.03
198802,-0.4,0.5,0.09,1.37
198803,0.6,0.1,0.1,0.38
198804,0.1,-0.3,-0.75,1.12
198805,0.9,-0.9,-1.3,0.61
198806,0.1,-1.3,-1.85,1.31
198807,1,-1.3,-1.77,1.6
198808,1.5,-1.1,-1.56,-0.62
198809,1.8,-1.2,-1.4,-0.97
198810,1.4,-1.5,-1.86,0.89
198811,1.7,-1.8,-1.84,0.11
198812,1.2,-1.8,-1.76,0.33
198901,1.5,-1.7,-1.39,-1.57
198902,1.2,-1.4,-0.79,-1.71
198903,1.1,-1.1,-1.04,-1.56
198904,1.6,-0.8,-0.88,-0.77
198905,1.2,-0.6,-0.78,-0.04
198906,0.7,-0.4,-0.42,-0.56
198907,0.9,-0.3,-0.27,-0.59
198908,-0.3,-0.3,-0.51,-0.27
198909,0.5,-0.2,-0.32,0.41
198910,0.8,-0.2,-0.36,-1.08
198911,-0.2,-0.2,-0.34,-0.7
198912,-0.5,-0.1,-0.36,0.57
199001,-0.1,0.1,-0.27,-1.09
199002,-1.8,0.2,0.14,-2.78
199003,-0.4,0.3,-0.12,0.04
199004,0.2,0.3,0.14,-0.62
199005,1.2,0.3,0.24,0.27
199006,0.3,0.3,0.01,-1.39
199007,0.5,0.3,-0.08,-0.26
199008,-0.2,0.4,0,1.76
199009,-0.7,0.4,0.11,-0.46
199010,0.3,0.3,-0.06,-0.91
199011,-0.5,0.4,-0.12,-1.66
199012,-0.2,0.4,-0.03,-1.62
199101,0.6,0.4,0.18,0.2
199102,0.3,0.3,0.03,1.13
