SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,Portland,OR,97230.0,147000.0,0.0,0.5,COLUMBIA RIDGE MARINA,,,1997.0,260.0,,295.0,Active,,,RMLS,18555707,N,Y,45.56432094740917,-122.46777905259083
MLS Listing,,Condo/Co-op,Portland,OR,97233.0,147000.0,2.0,2.0,LAISSEZ FAIRE ESTATES,1006.0,,1970.0,19.0,146.0,325.0,Active,,,RMLS,18133407,N,Y,45.496808319498705,-122.51792778050128
MLS Listing,,Vacant Land,Portland,OR,97219.0,149000.0,,,"Lake Oswego, West Linn",,10454.0,,8.0,,,Active,,,RMLS,18129013,N,Y,45.48049074984668,-122.66608405015332
MLS Listing,,Condo/Co-op,Portland,OR,97219.0,149500.0,2.0,1.0,Franciscan Condominiums,921.0,,1973.0,187.0,162.0,455.0,Active,,,RMLS,18077297,N,Y,45.466528568535466,-122.70259353146454
MLS Listing,,Vacant Land,Portland,OR,97213.0,149900.0,,,Portland Northeast,,2613.0,,103.0,,,Active,,,RMLS,18038814,N,Y,45.5402832755963,-122.57232732440369
MLS Listing,,Vacant Land,Portland,OR,97219.0,150000.0,,,"Portland West, Raleigh Hills",,6098.0,,51.0,,,Active,,,RMLS,18613483,N,Y,45.49165688514428,-122.65577311485572
MLS Listing,,Vacant Land,Portland,OR,97219.0,150000.0,,,"Portland West, Raleigh Hills",,6098.0,,51.0,,,Active,,,RMLS,18288602,N,Y,45.471023264638504,-122.67640673536151
MLS Listing,,Single Family Residential,Portland,OR,97035.0,150000.0,0.0,0.5,COLUMBIA RIDGE MARINA,,,1997.0,670.0,,295.0,Active,,,RMLS,16289717,N,Y,45.569813022489015,-122.46228697751098
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,150000.0,2.0,1.0,NW Washington Co or Sauvie Island,812.0,,1979.0,91.0,185.0,477.0,Active,,,RMLS,18514820,N,Y,45.53855801929134,-122.79157038070868
MLS Listing,,Vacant Land,Portland,OR,97231.0,150000.0,,,NW Washington Co or Sauvie Island,,26571.0,,545.0,,,Active,,,RMLS,17036046,N,Y,45.603830060850406,-122.82511193914958
MLS Listing,,Condo/Co-op,Portland,OR,97266.0,154000.0,2.0,2.0,Portland Southeast,760.0,,2007.0,7.0,203.0,267.0,Active,,,RMLS,18216811,N,Y,45.519024401113484,-122.55225589888651
MLS Listing,,Condo/Co-op,Portland,OR,97213.0,155000.0,0.0,1.0,MONTAVILLA / MILEPOST 5,439.0,,1969.0,58.0,353.0,163.0,Active,,,RMLS,18298508,N,Y,45.548494175611395,-122.56045962438861
MLS Listing,,Condo/Co-op,Portland,OR,97229.0,155000.0,1.0,1.0,BETHANY VILLAGE,467.0,,1999.0,27.0,332.0,,Active,,,RMLS,18281807,N,Y,45.56291381176373,-122.82351278823626
MLS Listing,,Condo/Co-op,Portland,OR,97220.0,155000.0,1.0,1.0,Portland Northeast,502.0,,1999.0,15.0,309.0,360.0,Active,,,RMLS,18055221,N,Y,45.57840627046084,-122.51075712953916
MLS Listing,,Vacant Land,Portland,OR,97203.0,155000.0,,,Portland North,,3920.0,,52.0,,,Active,,,RMLS,18100987,N,Y,45.59255544987816,-122.74422555012183
