SALE TYPE,SOLD DATE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,Tigard,OR,97223,139900,2.0,1.0,METZGER,776.0,,1979.0,49.0,180.0,285.0,Active,,,RMLS,18134688,N,Y,45.49294058477563,-122.71955331522436
MLS Listing,,Single Family Residential,Tigard,OR,97223,549000,4.0,2.5,WASHINGTON SQUARE ESTATES,3430.0,10890.0,1978.0,49.0,160.0,8.0,Active,,,RMLS,18281324,N,Y,45.48223177703584,-122.71611502296416
MLS Listing,,Single Family Residential,Portland,OR,97223,549900,3.0,2.0,"Portland West, Raleigh Hills",1088.0,31798.0,1975.0,49.0,505.0,,Active,,,RMLS,18027989,N,Y,45.46076867792696,-122.75642112207305
MLS Listing,,Single Family Residential,Portland,OR,97223,549900,3.0,2.0,"Portland West, Raleigh Hills",1562.0,26136.0,1979.0,49.0,352.0,,Active,,,RMLS,18295338,N,Y,45.48257046884314,-122.73476363115685
MLS Listing,,Single Family Residential,Portland,OR,97223,424900,3.0,2.0,aaaaaa,1255.0,7405.0,1950.0,51.0,339.0,,Active,,,RMLS,18172499,N,Y,45.47197661180413,-122.75134988819585
MLS Listing,,Single Family Residential,Portland,OR,97224,769900,5.0,2.5,Burgundy Ridge,3170.0,8276.0,2018.0,51.0,243.0,,Active,,,RMLS,18341668,N,Y,45.42369482133208,-122.82198017866791
MLS Listing,,Single Family Residential,Portland,OR,97219,675000,3.0,3.0,Garden Home,2741.0,11761.0,1989.0,52.0,246.0,,Active,,,RMLS,18320223,N,Y,45.47821230205278,-122.72538589794722
MLS Listing,,Townhouse,Portland,OR,97223,365000,3.0,2.5,Garden Home,1776.0,2178.0,1999.0,55.0,206.0,,Active,,,RMLS,18217727,N,Y,45.485540366285036,-122.73738163371497
MLS Listing,,Single Family Residential,Portland,OR,97223,409900,3.0,2.0,"Portland West, Raleigh Hills",1342.0,7405.0,1974.0,56.0,305.0,,Active,,,RMLS,18221348,N,Y,45.46281839716712,-122.7624276028329
MLS Listing,,Single Family Residential,Tigard,OR,97224,629995,4.0,2.5,MEYERS FARM,2869.0,5227.0,2000.0,56.0,220.0,,Active,,,RMLS,18661709,N,Y,45.44188696693006,-122.81217823306994
MLS Listing,,Condo/Co-op,Tigard,OR,97224,250000,2.0,2.0,"Tigard, Tualatin, Sherwood, Wilsonville",1002.0,,1992.0,58.0,250.0,300.0,Active,,,RMLS,18494874,N,Y,45.4220623344858,-122.7895969655142
MLS Listing,,Single Family Residential,Tigard,OR,97224,687900,4.0,3.5,MADELINE HEIGHTS,3180.0,,2018.0,59.0,216.0,,Active,,,RMLS,18047136,N,Y,45.432399818968136,-122.79250018103185
MLS Listing,,Townhouse,Portland,OR,97223,379000,3.0,4.0,Magnolia Woods,1777.0,,2004.0,60.0,213.0,300.0,Active,September-22-2018 12:00 PM,September-22-2018 03:00 PM,RMLS,18138763,N,Y,45.48056173834119,-122.73976416165883
MLS Listing,,Single Family Residential,Tigard,OR,97224,825000,4.0,2.5,Estates At River Terrace,4375.0,6098.0,2016.0,63.0,189.0,141.0,Active,,,RMLS,18318808,N,Y,45.426788075758836,-122.81952062424118
MLS Listing,,Single Family Residential,Tigard,OR,97224,389000,2.0,2.0,Highlands,1698.0,5662.0,1992.0,63.0,229.0,75.0,Active,,,RMLS,18076375,N,Y,45.426793200664086,-122.78362639933592
